"Save Change","Salvar Alterações"
"Facebook: AppID","Facebook: AppID"
"Facebook: Number of comment","Facebook: Número de comentários"
"Facebook: Color scheme","Facebook: Esquema de cor"
"Facebook: Order by","Facebook: Ordenar por"
SEO,SEO
"Meta title","Meta título"
"Meta description","Meta descrição"
"Meta keywords","Meta palavras-chave"
"Meta robots","Meta robots"
"Article Snippet","Snippet do Artigo"
"Organize or Website name","Nome da Organização ou do Website"
Logo,Logo
"Choose your website or organize logo. (jpeg, gif, png)","Escolha o logo da sua organização ou website. (jpeg, gif, png)"
"Social Sharing","Compartilhamento Social"
"Addthis.com PubId","Addthis.com PubId"
"Mageplaza Blog","Mageplaza Blog"
Title,Título
"Numbers of Posts Display","Número de Postagens Exibidas"
"Show Type","Exibir Tipo"
"Category ID","ID da Categoria"
Template,Template
"Default Posts Template","Template das Postagens Padrão"
"Category Name","Nome da Categoria"
"Parent Category","Categoria Pai"
"Tag Name","Nome da Tag"
"Topic Name","Nome do Tópico"
Delete,Deletar
"Delete Comments","Deletar Comentário"
"Are you sure you wan't to delete selected Comments?","Você tem certeza que deseja deletar os Comentários selecionados?"
"Change status","Alterar status"
Created,Criado
Edit,Editar
"Add New Post","Adicionar Nova Postagem"
"Delete Posts","Deletar Postagem"
"Are you sure you wan't to delete selected Posts?","Você tem certeza que deseja deletar as Postagens selecionadas?"
Disable,Desabilitar
Modified,Modificado
Published,Publicado
"Add New Tag","Adicionar Nova Tag"
"Delete Tags","Deletar Tags"
"Are you sure you wan't to delete selected Tags?","Você tem certeza que deseja deletar as Tags selecionadas?"
"Add New Topic","Adicionar Novo Tópico"
"Delete Topics","Deletar Tópicos"
"Are you sure you wan't to delete selected Topics?","Você tem certeza que deseja deletar os Tópicos selecionados?"
"View Post", "Ver Postagem"
